,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
13,-0.71648306,-0.3040581,-0.22649439,-0.011881547,0.122948825,-0.19400208,0.20136787,0.008409784,0.16112174,0.022890441,-0.13003013,-0.479238,0.036751993,-0.7156285,0.040363003,0.027229184,-0.5181682,-0.094852135,-0.0010166597,0.028993992,-0.13792394,0.03770181,-0.10889594,0.13549869,0.20541537,0.063110374,-0.13895935,-0.82110155,0.035916816,0.03470751,-0.099411994,0.01654494,-0.06928081,-0.022580218,0.059719604,0.019411247,0.011342173,-0.12531856,-0.11170944,0.0940287,-0.25522196,-0.0039253836,-0.031244671,-0.079241365,-0.05457571,0.034785923,0.044260807,-0.19105709,0.034635063,-0.0063268733,-0.03580113,-0.042180635,0.09383557,-0.08622669,0.06057547,0.030098164,0.07656135,-0.019943735,-0.17895313,0.17694245,-0.26700926,-0.15655088,0.054149356,-0.42214707
14,-0.6804341,-0.0033552893,-0.9562692,-0.0036312612,0.13622113,-0.8093348,-1.0153424,-0.011329151,-0.011630012,0.05413761,0.17150219,-1.7878256,0.11924383,-2.0417364,0.052180327,0.15381016,-1.1902897,-0.6781415,-0.5609747,-0.046604402,0.05056701,-0.90783477,0.21292242,-0.0073728533,0.14043367,-0.010918401,-0.068021186,0.5381537,-0.41596696,-0.531017,-0.09837466,-0.33650774,-0.2606817,0.18167429,-0.5394832,-0.27439958,-0.6376486,-1.2045195,0.11773231,-0.06228625,-0.9818742,0.07798204,-0.77771163,-0.048306946,-0.7220449,-0.94111246,0.23878086,-0.14735927,-1.6250277,-0.0023478514,-1.0300568,-0.18942739,0.05391167,-1.1062411,0.11860931,-0.07063429,-0.23258719,-0.174844,-1.0902557,0.07890607,-0.9853967,-0.6636961,0.09395771,-0.375908
15,-0.60213166,-0.04543844,-0.10398987,-0.05274761,-0.24608296,-0.0319766,-0.6394837,-0.4281887,-0.07236437,-0.017317506,0.33137175,-0.48636994,-0.27719766,0.18817595,-0.11068715,0.11767522,-0.0038354448,0.25055036,-0.19508716,-0.73411006,-0.12809202,-0.6852242,-0.081296235,-0.3165133,-0.5247272,0.053519648,-0.099254325,0.2380052,-0.44498116,-0.29275423,0.05073726,-0.06616084,-0.763798,0.014592349,-0.0396426,-1.017429,-0.065448135,0.13464497,0.1283141,-0.448922,0.27580464,0.1448917,-0.021828106,-1.0536269,-1.1669537,-0.069037005,0.06263045,-0.20845564,-0.1441562,-0.2148394,-0.069630824,-0.18247832,-1.0562807,0.07701995,-0.24971998,-0.80237496,-0.10905252,-0.27725533,0.025545925,-1.6148915,0.100154,-0.8139516,0.17837308,0.30377844
16,-0.1674413,-0.9069464,-1.0860226,0.046966378,-0.7943029,-0.44898486,0.00042445326,-0.38628036,0.18865934,-0.27903074,0.02570486,-0.01298456,-0.23470896,-0.40348533,-0.003017856,0.20896271,-0.91501576,0.06539676,-0.10335507,-0.17744175,0.032115754,-0.6169284,-1.4740261,-0.24053325,-0.5344318,0.1671161,0.13827044,-1.6642082,0.114650846,-0.4632501,0.22004928,-0.89196676,-0.621423,-0.13050872,-0.30680695,-2.0909057,-2.5758982,0.074524425,-0.641389,-0.075818226,-0.9113382,0.11551311,-0.04648967,0.042727686,-0.10554121,-0.5755545,-0.9790205,-1.0169433,-0.90874606,-0.59440583,-0.46207124,-0.22960572,-0.6290101,-0.40805343,-0.15540558,-0.23430586,0.10980627,0.095752366,-1.1381366,0.079256654,-1.2371649,-0.37494662,0.15971376,0.107693635
17,0.105138965,-0.09363418,-1.5365189,0.106507696,-0.23987503,-0.9039981,-0.040872082,-0.5558919,0.3249519,-0.074176155,0.033078376,0.06251043,-0.66879565,-0.07423903,-0.014265387,0.23258425,-0.5212145,0.04728386,-0.65210116,-0.3585987,-0.46200797,-0.26577413,-0.2781914,-0.43582577,-0.99661404,0.0995914,0.17966795,-0.28843087,0.2345232,-0.025861504,0.09016097,0.07075294,-1.2001156,0.02047341,-0.024823977,-2.5169785,-2.1307144,-0.09213497,-0.1496708,0.0061774524,-1.3136355,-0.029681956,0.13995653,0.11513974,0.04871523,-0.43658555,-0.67251563,-0.8369438,-0.4642431,-0.6506167,-1.2168214,-0.07175257,-0.0109340325,-0.45168355,-0.5466619,-0.3646585,0.04892868,0.19155113,-0.24704072,0.042612735,-0.65938413,-0.3539258,-0.10180618,0.12345007
18,-0.14549549,0.14839719,-1.3492984,0.07244639,-0.07878995,-0.023179844,-0.44310093,-0.16884144,0.27045974,-0.3310537,-0.03621929,0.0016727941,-0.11407024,-0.7112829,0.12447818,-0.026682355,-1.3253582,0.2150672,-0.35386887,0.031379834,-0.17379679,-0.18752009,0.096324705,-0.2006459,-0.07419258,0.1279315,-0.04405471,0.2879614,-0.35763487,-0.607706,0.1870922,-0.4274477,-0.08772794,0.12607163,-0.54425544,-0.101889,-0.23213716,-0.015692087,-0.23702614,-0.0050487462,-0.23496869,0.1684945,-0.4353448,-0.17490163,0.3104806,-0.5994385,-0.24887112,0.009699283,-1.2840005,-0.1265504,-0.67361146,-0.24934605,-0.5208879,-0.2851957,-0.03357526,0.13687523,0.02870697,0.139551,-1.2322191,-0.123737775,-0.26579526,0.151353,0.07215332,0.054706868
19,0.0059844116,-1.3493462,0.19793855,-0.4010357,-0.17755727,-1.236794,-0.18827501,-1.1856495,-0.025783272,0.016176946,-1.020526,-0.53393507,-0.39808452,-0.45364463,-0.21193007,0.19538929,-0.040431514,-0.30571768,0.1702529,-0.14226502,-0.17800507,-0.5618812,-0.91296685,-0.1392941,-1.2548064,-0.45590648,-0.050318275,-0.9533558,0.21563582,0.20831148,0.12198702,-0.49667257,0.25904733,-0.7632504,-0.32323188,-0.5867061,-0.1229877,-0.55810666,0.020432014,-0.604191,-0.34931296,0.018099574,0.13664956,0.038379975,0.11429588,-0.991426,0.30660018,-1.2997042,0.123289905,-0.16439135,0.1777837,-0.4997162,0.108569704,-0.2637804,-0.23614328,-0.553183,0.044810932,-1.1810566,0.027867254,-0.0014047667,-0.9092443,0.17526034,-0.43044168,0.027265672
20,0.0146762775,-0.7183113,-0.57446826,0.12301949,-0.18339828,-0.36323637,-0.00062915956,-0.023436002,0.26509976,-0.1637361,0.11789801,-0.07350058,0.01951719,-0.39518803,0.082291014,0.22628681,-1.3203559,0.07616705,-0.20179561,-0.089347504,-0.36144897,-0.35346153,-0.3190462,-0.14418061,0.06709805,0.19922788,0.21860111,-0.5903294,0.4048859,-0.4834239,0.22926247,-0.160922,-0.6485387,0.11356336,-0.5006989,-0.815045,-0.7643291,-0.05606437,-0.58896,-0.15481575,-1.093083,0.12794594,-0.54396075,-0.17788081,-0.04253555,-0.46032897,-0.28151044,-0.3482248,-0.6512245,-0.36298546,-0.7540871,-0.3790852,-1.0835358,-0.67649114,-0.10451528,-0.21905608,0.24411416,0.2840401,-1.0667523,-0.18580441,-0.06561644,-0.10411047,0.11000426,0.16583003
21,-0.40447053,-1.3588833,0.025419502,-1.5112853,-1.6231093,-0.20713021,0.04976905,-0.72364473,-0.1114386,0.0028794308,-0.21956843,-0.1919661,-1.2324122,0.13833702,-0.43013996,0.1259341,-0.5883497,-0.1932929,0.09108576,-0.27703303,-0.91379976,0.09895561,-0.34493667,0.028328083,-1.4438564,-0.2971463,0.046383478,-0.124261975,0.135742,-0.06977446,-0.0045007695,-0.22647375,0.07247215,-0.9135399,-0.6516978,0.1946618,0.24482122,0.030684076,-0.3214386,-2.2189083,-1.2598151,-1.382375,-0.30641228,0.02688299,-0.50975245,-0.419046,-0.0820906,-1.3843254,0.10546142,-1.7557642,0.13806446,-1.6209646,-0.38719362,0.047191713,-1.7314994,-0.29600093,0.10291849,-0.9551206,0.071509786,0.16510248,0.0051061157,0.11807428,-0.52196544,-0.26920906
22,-0.3248315,0.07979316,-0.55799353,0.05150318,0.030518038,-0.6056149,-0.62608063,-0.27407107,0.3213793,-0.5432848,-0.21666433,-0.052666932,-0.04102177,-1.0264251,-0.010812845,0.3202459,-0.45342007,-0.62791425,-0.81926847,0.034264833,-0.16124903,-0.3051692,0.21903795,-0.23407449,-0.21226414,0.22956233,-0.14752993,0.43850744,-0.50966424,-0.8853801,0.17990524,-0.4258892,-0.45866612,0.16259117,-0.44136637,-0.27926314,-0.47883615,-0.8044324,-0.38088444,-0.018986536,-0.64282745,-0.0063333088,-0.27506685,-0.12864716,0.17743191,-0.6256008,0.03577817,-0.034795403,-0.74551475,-0.032323506,-0.8804259,-0.06491622,-0.11433998,-0.34107322,-0.009481058,-0.2999495,-0.40697837,-0.22137636,-1.1050751,-0.1689983,-0.71893233,-0.56811786,-0.13371715,-0.2251552
23,0.10762456,-0.39655423,-0.4119781,-0.42691728,0.053800333,-0.16076408,-0.97857594,-0.0031903067,-0.11810891,0.13374807,-0.059089825,-0.31786302,-0.021824554,-0.075956844,-0.065960094,-0.25729743,0.0009958576,-0.6030698,-0.27742898,-0.5940051,0.15587467,-0.570534,-0.17181112,-0.6231933,-0.15240502,-0.017955748,0.1781567,-0.8697114,0.13269643,0.13017568,0.06986997,-0.1676763,-0.16539247,-0.06602862,0.054902475,-1.2401595,-0.1640038,-0.21715738,0.17688552,-0.33187684,0.07668464,0.007968715,0.26491326,-0.24173415,-0.3127977,-0.17336772,-0.0021067376,-0.06316443,-0.5147204,0.10414334,-1.2462988,-0.07840979,-0.020424407,-0.01869223,0.03014411,-0.47640118,-0.12819327,-0.3071742,-0.04594446,-0.88378894,0.018832235,-1.2009493,0.08653912,0.069353044
24,-0.0017642373,-0.40249392,-0.6358847,-0.027388105,0.06582051,-0.41882807,0.14615606,0.112677574,-0.3193931,0.09380074,0.2181742,-0.33168522,0.061268725,-0.4562933,-0.0056912997,-0.22140649,-0.24728458,-0.1212911,-0.46915126,-0.3427306,0.058202222,-0.21991253,0.12448028,0.011570116,0.24504097,0.029234128,0.07588307,0.3186959,-0.18837985,-0.024870217,-0.06647351,-0.16394606,-0.889465,0.073584534,0.033965994,-1.3329073,-1.3532059,0.07470835,0.17544396,-0.14140557,0.07248365,0.037611622,-0.011249511,-0.5474564,-0.5972708,-0.98248446,0.027152117,-0.29230708,-0.51015115,0.062203757,-0.7090753,-0.09690375,-0.5962591,0.039397962,0.09719045,-0.23247263,0.080199294,-0.2313714,-0.84520113,-0.5893145,-1.5726073,-1.2755159,0.22362176,0.055443622
25,0.21981022,-0.9428153,-0.62278,0.104443274,-0.025663456,-0.23014411,-0.06862146,-0.048085533,-0.1374787,-0.04672719,0.2540423,0.23849648,0.030817458,-0.6057997,0.0553422,-0.06830682,-0.49255526,0.15059958,-0.30805996,0.15375313,0.10539296,-0.2825119,-0.08319209,0.05393614,0.1396757,-0.0169981,-0.08119396,-2.1844535,-0.007386605,-0.48141345,0.24671619,-0.13938582,-0.4590588,-0.12357674,0.06037044,-1.023743,-1.6708417,0.081381395,-0.37811455,0.040718246,-0.21376708,0.05657168,-0.01649594,0.15481266,-0.8173561,-0.6951027,-0.09471631,-0.66014284,-0.5402923,0.051867567,-0.46797225,-0.2555377,-0.03175214,-0.05110483,-0.03245502,0.08049979,-0.038519554,0.14729583,-0.49279228,0.109970205,-1.1929688,-0.60235786,0.121826805,0.14781104
26,-0.5621736,-0.60734254,-0.055035688,-0.9405271,0.016409205,0.019058652,-0.5309313,0.11807388,-0.6447758,0.008380228,0.23208377,-0.36739314,-0.33277276,0.083894715,-0.13654819,-0.094555676,0.123037845,-0.23259008,-0.48668855,-0.6834785,0.10023865,-0.44570485,0.13428636,-1.2588648,-0.16457099,-0.17534478,0.05708767,-1.3544056,-0.44770506,-0.33277205,-0.030776057,-0.0344889,-1.7434784,-0.3741227,0.12866035,-3.3141024,-1.944029,0.1121212,0.11155291,-0.23524913,0.25886682,-0.7297173,0.09111006,-1.1266694,-0.18462746,-0.16395554,-0.24248937,-0.47423783,-0.11195081,-0.67554486,-0.14876296,0.22270672,-0.34824577,0.11476185,-0.45126083,-0.29265842,-0.33911738,-0.56530094,-0.30208546,-1.2758579,-0.43711787,-0.81050515,0.20764954,-0.17708479
27,0.21170273,0.08360742,0.19762024,-0.19954512,0.12711893,0.1601972,-0.012131996,0.016803147,-0.11803626,-0.077307604,-0.54242027,-0.18668564,0.08094182,0.16119976,-0.18779588,-0.2121328,0.16054057,-0.2568498,0.17919388,-0.286957,0.067902185,-0.2230465,7.522432e-05,-0.07714721,-0.10076511,-0.3245794,0.021650627,0.26969138,-0.20338373,0.10362463,-0.14986518,0.032965116,0.016278896,-0.17109732,0.07392865,-0.40662923,0.1099102,-0.06160598,-0.20841064,-0.1398755,-0.051317785,-0.2361877,-0.46365806,-0.10819467,-0.027863128,0.12676826,0.11086039,0.19229995,0.075691625,0.022913452,-0.15238616,-0.12672248,0.10344007,-0.14461029,0.08480025,-0.252514,-0.37292144,-0.4405431,0.16232179,-0.2937123,0.1558683,-0.2263066,-0.39852542,-0.4181712
